name,lon,lat
Hanxlerstr. 6,5.999121395820794,50.994277114660804
Heinsberger Straße 11,5.997902732324803,50.9933631104432
Heinsberger Straße 2,5.997572460289803,50.99287557129625
Sittarder Straße 11,5.9961762696404435,50.992985768939434
Sittarder Straße 12,5.996090255787465,50.99308120879709
Sittarder Straße 16,5.9958390833093915,50.99311804528432
Wallstraße 15,5.995607828939654,50.993830636245804
Wallstraße 10,5.995650070412523,50.99378695765719
Sittarder Straße 22,5.9954566856910105,50.99316587199715
Bruchstraße 26,5.995134192313287,50.99136101260717